,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
0,CCFX,2008-01-01,0,2007-12-28,0,0,0,0
1,CCFX,2008-01-02,1,2007-12-28,0,0,0,0
2,CCFX,2008-01-03,1,2008-01-02,0,0,0,0
3,CCFX,2008-01-04,1,2008-01-03,1,0,0,0
4,CCFX,2008-01-05,0,2008-01-04,0,0,0,0
5,CCFX,2008-01-06,0,2008-01-04,0,0,0,0
6,CCFX,2008-01-07,1,2008-01-04,0,0,0,0
7,CCFX,2008-01-08,1,2008-01-07,0,0,0,0
8,CCFX,2008-01-09,1,2008-01-08,0,0,0,0
9,CCFX,2008-01-10,1,2008-01-09,0,0,0,0
10,CCFX,2008-01-11,1,2008-01-10,1,0,0,0
11,CCFX,2008-01-12,0,2008-01-11,0,0,0,0
12,CCFX,2008-01-13,0,2008-01-11,0,0,0,0
13,CCFX,2008-01-14,1,2008-01-11,0,0,0,0
14,CCFX,2008-01-15,1,2008-01-14,0,0,0,0
15,CCFX,2008-01-16,1,2008-01-15,0,0,0,0
16,CCFX,2008-01-17,1,2008-01-16,0,0,0,0
17,CCFX,2008-01-18,1,2008-01-17,1,0,0,0
18,CCFX,2008-01-19,0,2008-01-18,0,0,0,0
19,CCFX,2008-01-20,0,2008-01-18,0,0,0,0
20,CCFX,2008-01-21,1,2008-01-18,0,0,0,0
21,CCFX,2008-01-22,1,2008-01-21,0,0,0,0
22,CCFX,2008-01-23,1,2008-01-22,0,0,0,0
23,CCFX,2008-01-24,1,2008-01-23,0,0,0,0
24,CCFX,2008-01-25,1,2008-01-24,1,0,0,0
25,CCFX,2008-01-26,0,2008-01-25,0,0,0,0
26,CCFX,2008-01-27,0,2008-01-25,0,0,0,0
27,CCFX,2008-01-28,1,2008-01-25,0,0,0,0
28,CCFX,2008-01-29,1,2008-01-28,0,0,0,0
29,CCFX,2008-01-30,1,2008-01-29,0,0,0,0
30,CCFX,2008-01-31,1,2008-01-30,0,1,0,0
31,CCFX,2008-02-01,1,2008-01-31,1,0,0,0
32,CCFX,2008-02-02,0,2008-02-01,0,0,0,0
33,CCFX,2008-02-03,0,2008-02-01,0,0,0,0
34,CCFX,2008-02-04,1,2008-02-01,0,0,0,0
35,CCFX,2008-02-05,1,2008-02-04,1,0,0,0
36,CCFX,2008-02-06,0,2008-02-05,0,0,0,0
37,CCFX,2008-02-07,0,2008-02-05,0,0,0,0
38,CCFX,2008-02-08,0,2008-02-05,0,0,0,0
39,CCFX,2008-02-09,0,2008-02-05,0,0,0,0
40,CCFX,2008-02-10,0,2008-02-05,0,0,0,0
41,CCFX,2008-02-11,0,2008-02-05,0,0,0,0
42,CCFX,2008-02-12,0,2008-02-05,0,0,0,0
43,CCFX,2008-02-13,1,2008-02-05,0,0,0,0
44,CCFX,2008-02-14,1,2008-02-13,0,0,0,0
45,CCFX,2008-02-15,1,2008-02-14,1,0,0,0
46,CCFX,2008-02-16,0,2008-02-15,0,0,0,0
47,CCFX,2008-02-17,0,2008-02-15,0,0,0,0
48,CCFX,2008-02-18,1,2008-02-15,0,0,0,0
49,CCFX,2008-02-19,1,2008-02-18,0,0,0,0
50,CCFX,2008-02-20,1,2008-02-19,0,0,0,0
51,CCFX,2008-02-21,1,2008-02-20,0,0,0,0
52,CCFX,2008-02-22,1,2008-02-21,1,0,0,0
53,CCFX,2008-02-23,0,2008-02-22,0,0,0,0
